,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,hobart,75,AU,1581624394,87,61.0,-42.88,147.33,5.82
1,georgetown,20,MY,1581624603,88,80.6,5.41,100.34,2.73
2,misratah,100,LY,1581624376,73,61.7,32.38,15.09,2.95
3,tual,74,ID,1581624427,78,82.89,-5.67,132.75,11.03
4,yellowknife,90,CA,1581624437,76,-2.0,62.46,-114.35,9.17
5,cape town,7,ZA,1581624577,88,72.0,-33.93,18.42,10.29
6,ahipara,100,NZ,1581624622,100,68.0,-35.17,173.17,8.01
7,ushuaia,40,AR,1581624600,47,59.0,-54.8,-68.3,19.46
8,banda aceh,100,ID,1581624623,86,75.06,5.56,95.32,2.84
9,altay,0,CN,1581624623,42,11.68,47.87,88.12,4.94
10,tuktoyaktuk,20,CA,1581624623,72,-40.0,69.45,-133.04,8.05
11,benito juarez,20,MX,1581624623,30,80.6,19.39,-99.17,3.15
12,hermanus,34,ZA,1581624624,90,68.0,-34.42,19.23,1.01
13,jamestown,90,US,1581624624,80,33.8,42.1,-79.24,9.17
14,rikitea,100,PF,1581624624,75,78.75,-23.12,-134.97,15.19
15,wasilla,75,US,1581624625,61,19.0,61.58,-149.44,4.7
16,lompoc,1,US,1581624540,71,64.0,34.64,-120.46,4.7
17,kapaa,20,US,1581624626,65,77.0,22.08,-159.32,3.36
18,coruripe,100,BR,1581624626,79,81.25,-10.13,-36.18,12.28
19,atuona,1,PF,1581624626,79,80.38,-9.8,-139.03,14.2
20,iracoubo,46,GF,1581624627,76,78.98,5.48,-53.2,17.07
21,albany,90,US,1581624627,90,37.99,42.6,-73.97,12.75
22,kyra,0,RU,1581624627,87,-10.55,49.58,111.98,5.1
23,barrow,1,US,1581624628,73,-29.2,71.29,-156.79,6.93
24,wuwei,95,CN,1581624628,44,16.45,37.93,102.64,6.4
25,saint-philippe,100,RE,1581624628,74,80.6,-21.36,55.77,4.7
26,faanui,0,PF,1581624628,75,82.11,-16.48,-151.75,13.29
27,codrington,100,AU,1581624629,93,65.91,-38.27,141.97,11.63
28,vardo,0,NO,1581624629,70,19.4,70.37,31.11,28.86
29,busselton,14,AU,1581624629,52,69.01,-33.65,115.33,12.88
30,san patricio,5,MX,1581624630,66,84.2,19.22,-104.7,11.41
31,el retorno,86,CO,1581624630,40,92.53,2.33,-72.63,4.83
32,olafsvik,100,IS,1581624630,75,25.34,64.89,-23.71,27.22
33,maraba,40,BR,1581624631,56,93.2,-5.37,-49.12,4.7
34,pevek,100,RU,1581624631,97,-0.06,69.7,170.31,9.01
35,bethel,90,US,1581624631,93,41.0,41.37,-73.41,4.7
36,kincardine,75,GB,1581624632,86,39.2,56.07,-3.72,2.24
37,kodiak,1,US,1581624632,26,33.8,57.79,-152.41,8.05
38,nantucket,90,US,1581624584,93,42.8,41.28,-70.1,8.05
39,fortuna,90,US,1581624633,81,52.0,40.6,-124.16,3.36
40,punta arenas,75,CL,1581624633,48,62.01,-53.15,-70.92,12.75
41,camrose,90,CA,1581624633,73,21.99,53.02,-112.84,11.41
42,maralal,71,KE,1581624634,55,68.18,1.1,36.7,16.06
43,hervey bay,23,AU,1581624634,94,75.0,-25.3,152.85,6.93
44,mar del plata,75,AR,1581624538,94,77.0,-38.0,-57.56,13.87
45,upernavik,0,GL,1581624635,86,-10.95,72.79,-56.15,12.28
46,svetlogorsk,85,BY,1581624635,85,32.97,52.63,29.73,8.57
47,provideniya,75,RU,1581624636,77,6.8,64.38,-173.3,20.13
48,pisco,40,PE,1581624637,30,73.99,-13.7,-76.22,11.41
49,onguday,15,RU,1581624637,47,12.06,50.75,86.15,3.04
50,manadhoo,100,MV,1581624637,77,82.08,5.77,73.38,8.68
51,wendo,65,ET,1581624637,86,52.57,6.6,38.42,5.66
52,bluff,95,NZ,1581624638,80,51.01,-46.6,168.33,5.01
53,volchansk,100,RU,1581624638,96,19.74,59.94,60.08,2.64
54,soledad,20,CO,1581624413,58,91.4,10.92,-74.76,17.22
55,chuy,71,UY,1581624639,68,77.58,-33.7,-53.46,15.23
56,arraial do cabo,40,BR,1581624639,74,80.6,-22.97,-42.03,4.7
57,clyde river,75,CA,1581624639,83,-11.2,70.47,-68.59,11.41
58,zlobin,40,HR,1581624640,76,54.0,45.29,14.65,6.93
59,tasiilaq,100,GL,1581624640,73,21.2,65.61,-37.64,58.61
60,ormara,68,PK,1581624640,44,73.18,25.21,64.64,8.55
61,belmonte,35,BR,1581624641,74,86.0,-15.86,-38.88,6.93
62,new norfolk,75,AU,1581624641,87,61.0,-42.78,147.06,5.82
63,meulaboh,100,ID,1581624641,79,82.13,4.14,96.13,3.76
64,khatanga,100,RU,1581624641,92,10.35,71.97,102.5,16.28
65,athabasca,100,CA,1581624376,88,18.68,54.72,-113.29,4.29
66,carnarvon,0,AU,1581624642,78,73.4,-24.87,113.63,8.05
67,mataura,98,NZ,1581624642,80,51.01,-46.19,168.86,5.01
68,ponta do sol,40,PT,1581624642,77,64.4,32.67,-17.1,4.7
69,saskylakh,100,RU,1581624643,95,5.83,71.92,114.08,8.72
70,davenport,40,US,1581624387,65,12.0,41.52,-90.58,20.8
71,lasa,75,IT,1581624643,48,41.0,46.62,10.7,2.24
72,havre-saint-pierre,1,CA,1581624360,42,8.6,50.23,-63.6,14.99
73,ribeira grande,40,PT,1581624644,88,62.6,38.52,-28.7,20.8
74,cabo san lucas,5,MX,1581624502,49,73.0,22.89,-109.91,8.05
75,east london,0,ZA,1581624645,70,74.75,-33.02,27.91,20.96
76,riyadh,0,SA,1581624406,34,53.6,24.69,46.72,4.7
77,baculin,100,PH,1581624646,95,71.78,7.45,126.58,2.04
78,ayorou,100,NE,1581624646,8,75.76,14.73,0.92,7.7
79,tiksi,11,RU,1581624646,87,-30.41,71.69,128.87,6.13
80,castro,38,BR,1581624646,71,71.89,-24.79,-50.01,4.36
81,chegutu,97,ZW,1581624647,92,66.04,-18.13,30.14,7.4
82,san cristobal,40,VE,1581624410,55,86.0,7.77,-72.22,9.17
83,bubaque,25,GW,1581624647,70,80.2,11.28,-15.83,13.33
84,iqaluit,75,CA,1581624648,67,-22.0,63.75,-68.51,28.86
85,sisophon,0,KH,1581624648,89,74.97,13.59,102.97,5.01
86,anadyr,100,RU,1581624648,56,14.0,64.75,177.48,13.42
87,alice springs,0,AU,1581624367,33,77.0,-23.7,133.88,4.7
88,san luis,47,AR,1581624649,33,79.63,-33.3,-66.34,15.05
89,acapulco,20,MX,1581624398,58,84.2,16.86,-99.89,10.29
90,sibu,75,MY,1581624649,94,75.2,2.3,111.82,2.24
91,salalah,0,OM,1581624650,18,71.6,17.02,54.09,13.87
92,ilulissat,40,GL,1581624650,84,-0.4,69.22,-51.1,2.24
93,ahtopol,0,BG,1581624650,69,45.0,42.1,27.95,3.36
94,buala,100,SB,1581624651,82,80.69,-8.14,159.59,10.65
95,petropavlovsk-kamchatskiy,100,RU,1581624510,66,10.4,53.05,158.65,8.95
96,thinadhoo,50,MV,1581624651,75,82.44,0.53,72.93,8.39
97,sambava,100,MG,1581624651,95,73.35,-14.27,50.17,3.2
98,dunedin,100,NZ,1581624386,74,53.01,-45.87,170.5,8.14
99,pitiquito,0,MX,1581624652,39,69.01,30.7,-112.08,3.0
100,caravelas,6,BR,1581624652,80,80.91,-17.71,-39.25,13.31
101,nhulunbuy,66,AU,1581624653,88,80.6,-12.23,136.77,9.17
102,isangel,20,VU,1581624653,100,77.0,-19.55,169.27,10.58
103,coquimbo,87,CL,1581624653,60,69.8,-29.95,-71.34,17.22
104,pimentel,51,PE,1581624654,29,66.2,-6.84,-79.93,17.22
105,santa marta,20,CO,1581624654,63,91.4,11.24,-74.2,6.93
106,atar,0,MR,1581624655,23,78.87,20.52,-13.05,11.27
107,guerrero negro,6,MX,1581624655,36,68.2,27.98,-114.06,8.61
108,lebu,0,CL,1581624656,43,64.02,-37.62,-73.65,12.19
109,komsomolskiy,90,UZ,1581624656,81,37.4,40.43,71.72,6.93
110,ulagan,0,RU,1581624656,63,5.83,50.63,87.96,6.22
111,hithadhoo,1,MV,1581624657,77,82.72,-0.6,73.08,9.13
112,asfi,100,MA,1581624657,92,54.32,32.3,-9.24,10.96
113,north bend,90,US,1581624657,87,46.99,43.41,-124.22,5.32
114,college,1,US,1581624657,73,-18.99,64.86,-147.8,1.79
115,vaini,20,TO,1581624658,83,78.8,-21.2,-175.2,10.29
116,mount isa,0,AU,1581624658,72,66.2,-20.73,139.5,4.72
117,avarua,100,CK,1581624658,88,80.6,-21.21,-159.78,14.99
118,sidi ali,73,DZ,1581624659,96,50.65,36.1,0.42,0.87
119,kodinsk,7,RU,1581624659,96,-0.4,58.69,99.18,4.52
120,butaritari,100,KI,1581624659,85,82.35,3.07,172.79,20.29
121,akdepe,93,TM,1581624659,39,33.8,42.06,59.38,2.24
122,hualmay,100,PE,1581624660,66,76.14,-11.1,-77.61,10.02
123,srednekolymsk,63,RU,1581624660,93,-34.19,67.45,153.68,3.94
124,bredasdorp,59,ZA,1581624660,82,68.0,-34.53,20.04,5.82
125,abu zabad,0,SD,1581624661,12,66.09,12.35,29.25,11.65
126,tura,73,IN,1581624661,46,58.3,25.52,90.22,1.28
127,souillac,40,MU,1581624662,88,80.01,-20.52,57.52,3.36
128,chokurdakh,100,RU,1581624662,97,-31.13,70.63,147.92,4.92
129,alofi,98,NU,1581624663,94,75.2,-19.06,-169.92,8.05
130,brewster,90,US,1581624663,100,41.0,41.4,-73.62,9.17
131,narsaq,20,GL,1581624664,39,8.6,60.92,-46.05,7.05
132,ostrovnoy,27,RU,1581624664,86,27.34,68.05,39.51,19.15
133,vao,100,NC,1581624664,89,80.82,-22.67,167.48,11.97
134,boa vista,75,BR,1581624664,46,89.6,2.82,-60.67,14.99
135,dikson,100,RU,1581624665,92,21.31,73.51,80.55,22.97
136,hilo,1,US,1581624445,48,82.4,19.73,-155.09,11.41
137,buluang,64,PH,1581624665,93,70.7,13.31,123.34,6.26
